period,nominal_x_seconds,nominal_x_ci_low,nominal_x_ci_high,actual_y_seconds,actual_y_ci_low,actual_y_ci_high,x_over_y,x_over_y_ci_low,x_over_y_ci_high,fast_convergence_runs,cubic_dominant_runs
1,2.528685973,2.4553355255,2.588252796,1.623,1.541,1.6535,1.5463118625745225,1.5140285677677172,1.5946839816461842,0,100
2,8.709344081000001,8.6817281455,8.738335803,8.782499999999999,8.75,8.809,0.9930604376773049,0.9920767276919531,0.994345980815851,98,100
3,3.6814704545000003,3.626457662,3.734322868,3.7245,3.6944999999999997,3.7835,0.9900192159500965,0.9857326361029877,0.994767817321111,1,100
4,8.965406876,8.8878386865,8.992352034,8.8445,8.8045,8.894,1.0076627786801755,1.0049143987053626,1.0109856345645667,63,100
5,3.781129895,3.57425113,7.923726684,3.8315,3.663,8.481,0.9786999074178044,0.9747623518481905,0.9817721772520487,27,100
6,8.866493567,6.7119224325,8.975989675,8.8915,7.2425,8.921,0.9975953578822393,0.9845869735164294,1.0024307739671563,54,100
7,3.951057322,3.619305706,8.1184295235,4.016,3.701,8.71,0.9786445163597495,0.97653759747191,0.9854541835268105,34,100
8,8.7814516995,6.594206884,8.939995924,8.791,7.27,8.929,0.9914745444860669,0.9822874761135858,0.9964859605190197,56,100
9,3.996316324,3.677007582,8.821956988,4.044499999999999,3.761,8.543,0.9869910244855508,0.9805996954069299,0.9923849743449182,36,100
10,8.08041645,4.070435905,8.921861234,8.82,4.142,8.9395,0.9840491109985768,0.9788598104626709,0.99464858750691,51,100
